Coordinates
"[50.5918529, 7.9058013]"
"[-8.127568100000001, -34.89766384326872]"
"[-33.981732550000004, 151.17954914436925]"
"[45.9232908, -91.169892]"
"[45.218894, 12.2785805]"
"[28.3194741, -80.6102592]"
"[-22.3096866, 166.4586132]"
"[29.2108147, -81.0228331]"
"[33.6783336, -118.0000166]"
"[-6.8541667, 147.0931993]"
"[20.8747708, -156.4529879461996]"
"[20.76539425, -156.45883672273825]"
"[-17.5933711, 168.2092042020219]"
"[43.4154999, 16.7701973]"
"[51.180491700000005, -4.668687795822284]"
"[24.7137524, -81.0903512]"
"[44.0483016, 10.0165989]"
"[29.0294202, -81.02083424215786]"
"[26.6279798, -80.4494174]"
"[-31.9527121, 115.8604796]"
"[6.7071001, 121.9706436]"
"[26.784343, -80.0650293]"
"[-21.1677694, 55.2881932]"
"[-10.578645850000001, 142.21892059042744]"
"[18.1215622, -65.45746403129988]"
"[22.5726723, 88.3638815]"
"[-31.9315122, 133.0065803]"
"[33.7297734, -117.7728953]"
"[29.0094139, -80.8784575]"
"[33.7126537, -78.8598368]"
"[33.6908137, -78.8857352]"
"[-38.367086349999994, 147.20446029391962]"
"[17.9672636, -76.9178836]"
"[30.3636097, 48.2591475]"
"[-5.6354924, 139.4284209]"
"[39.4284503, -74.4957076]"
"[16.8680495, -99.8940182]"
"[54.6027428, -5.9296825]"
"[-34.9281805, 138.5999312]"
"[39.945391799999996, -75.13137860613611]"
"[-28.9149662, 114.6879927]"
"[-34.5311678, 20.037819]"
"[36.2125181, 46.2043484]"
"[48.15795905, 17.147295266392007]"
"[10.2204503, 169.9820473]"
"[29.2227872, 32.6208729]"
"[41.000028, 19.9999619]"
"[44.0492503, 8.2131239]"
"[39.2274004, -123.7741808]"
"[35.0737324, -106.6086162]"
"[28.5055531, -82.1431396]"
"[-35.279293, 138.4604028]"
"[20.5274605, -155.9095884]"
"[-26.675816, 153.108946]"
"[31.199004, 29.894378]"
"[-33.9122222, 25.6272222]"
"[-37.86715875, 144.82949742472704]"
"[40.63367, 14.6026095]"
"[-30.0497222, 30.8886111]"
"[-29.0466667, 31.5280556]"
"[25.6655547, -77.83450813380306]"
"[-22.298652500000003, 166.45121412678623]"
"[30.6077379, -81.4600909]"
"[42.3685658, -72.505714]"
"[-27.564732900000003, 153.44873819512986]"
"[19.9154922, -155.8897838]"
"[29.8267581, -81.2782122]"
"[-16.52099855, -151.70287411303752]"
"[43.480120400000004, 13.218790609151764]"
"[24.736871100000002, -78.02356424461638]"
"[-38.4051948, 144.188958]"
"[-29.478884, 153.3600421]"
"[-29.4406819, 153.3518774]"
"[-19.2440812, 169.60091068768887]"
"[37.10829805, -122.33682377207748]"
"[37.16480715, -122.32823505209385]"
"[-4.29311, 55.7002776]"
"[51.1609442, -0.9605912104450836]"
"[43.5836, 7.10905]"
"[-23.6463741, -70.3980033]"
"[29.6729916, -84.9618537]"
"[-30.2977333, 153.1135968]"
"[-30.2977333, 153.1135968]"
"[36.993645, -121.89194984597702]"
"[26.545582, -80.11505]"
"[42.3595622, -71.0520083]"
"[-30.8872826, 153.07492493311435]"
"[13.85767255, -61.06198163943853]"
"[55.6400848, -4.814877]"
"[38.2511969, -0.5201291114891506]"
"[35.6341097, 139.791295]"
"[-16.6905453, 145.97448044198165]"
"[-16.6782702, 145.9405661167477]"
"[-12.7308333, 134.5927778]"
"[-34.668056, 20.231111]"
"[-21.2280888, -159.8261485]"
"[55.57743995, -5.252119254274354]"
"[-30.060426, 153.2016851]"
"[-6.2281475, 134.49796567482778]"
"[31.7977314, 34.6529922]"
"[9.3508738, -79.8996586]"
"[-34.0792865, 24.9072224]"
"[53.6000981, -2.3879695]"
"[25.0754506, -77.2666571558642]"
"[26.7234824, -80.0383482]"
"[34.6990505, -76.7402108]"
"[34.6990505, -76.7402108]"
"[30.3344077, -81.398696]"
"[34.6554744, -77.0580759]"
"[33.802564, -78.7167719]"
"[30.33143875, -81.41554082007033]"
